Disease,Symptoms,Precautions,Medicines,Prescriptions,Diet Plan,Food Restrictions
Sickle Cell Anemia,"Chronic hemolytic anemia; Episodes of pain crisis; Swollen hands/feet; Jaundice; Fatigue; Frequent infections","Hydration; Avoid high altitudes and extreme cold; Pain management plans; Routine vaccines (pneumococcus, meningococcus, influenza); Hydroxyurea therapy","Hydroxyurea; Folic acid; Penicillin prophylaxis (peds); Analgesics (NSAIDs, opioids); L-glutamine","Hydroxyurea 15 mg/kg oral once daily (increase as tolerated) for 12 weeks; Folic acid 1 mg oral once daily; Penicillin VK 125 mg oral BID (children <3) or 250 mg BID (3–5 yr); Ibuprofen 400 mg oral TID PRN for pain; Morphine 10 mg oral Q4h PRN (severe pain)","Folate-rich foods (leafy greens, beans); Adequate protein (meat, legumes); Hydrating fruits (watermelon, cucumber); Balanced diet to prevent obesity; Iron-monitoring diet (tailored)","Excess iron (unless deficient); Dehydrating substances (caffeine); Alcohol (dehydrating); Very cold foods/drinks (may trigger crisis); Sugar-sweetened beverages"
Gout,"Severe joint pain (often big toe); Red, hot, swollen joints; Tophi (chronic urate deposits); Recurrent flares","Limit purine intake; Weight loss if overweight; Limit alcohol (esp. beer):contentReference[oaicite:47]{index=47}; Stay well-hydrated; Treat to target uric acid","Allopurinol; Febuxostat; Colchicine; NSAIDs; Probenecid","Allopurinol 300 mg oral once daily; Febuxostat 40 mg oral once daily; Colchicine 0.6 mg oral BID for 1 week (flare prevention); Ibuprofen 600 mg oral QID (during acute gout) for 5 days; Probenecid 500 mg oral BID (after flare subsides)","Low-purine diet: Dairy products; Complex carbohydrates; Cherries (may reduce attacks); Vitamin C-rich foods; Coffee (moderate intake)","High-purine foods (red meat, organ meats); Seafood (anchovies, sardines); Alcohol (beer, liquor); Sugary drinks (fructose); Shellfish"
Peptic Ulcer Disease,"Epigastric burning pain (improved with food or antacids); Nausea; Heartburn; Bloating; Dark/black stools (bleeding)","Test/treat H. pylori; Avoid NSAIDs and aspirin; Eat small frequent meals; Elevate head of bed (no nighttime reflux); Manage stress","Proton pump inhibitors (Omeprazole); H2 blockers (Ranitidine); Antibiotics (Amoxicillin, Clarithromycin); Misoprostol; Sucralfate","Omeprazole 20 mg oral BID for 4–8 weeks; Clarithromycin 500 mg oral BID × 14 days; Amoxicillin 1 g oral BID × 14 days; Sucralfate 1 g oral QID for 4 weeks; Bismuth subsalicylate 525 mg QID for 2 weeks","Frequent small meals; Lean proteins; Vegetables; Non-acidic fruits; Probiotics (yogurt)","Spicy foods; Coffee/tea (caffeine); Alcohol; High-fat fried foods; Excessive citrus or tomato-based foods"
Gastroesophageal Reflux Disease (GERD),"Heartburn (acid regurgitation); Acid taste in mouth; Chest pain; Dysphagia; Chronic cough","Elevate head of bed; Avoid late meals (3 hr before sleep); Weight loss if needed; Avoid trigger foods (spicy, chocolate, caffeine); Quit smoking","Proton pump inhibitors (Omeprazole); H2 blockers (Famotidine); Antacids; Sucralfate; Prokinetics (Metoclopramide)","Omeprazole 20 mg oral once daily 30 min before breakfast; Famotidine 20 mg oral BID; Calcium carbonate 500 mg chewable QID PRN; Sucralfate 1 g oral QID; Metoclopramide 10 mg oral TID AC (short-term)","Lean proteins; Oatmeal; Non-citrus fruits; Green leafy vegetables; Ginger tea","Spicy foods; Citrus fruits; Chocolate; Caffeine; Alcohol"
Urinary Tract Infection,"Dysuria (painful urination); Urgency and frequency; Suprapubic pain; Hematuria (sometimes); Low back pain","Drink plenty of water; Urinate after intercourse; Proper perineal hygiene; Cranberry products; Avoid holding urine","Trimethoprim/sulfamethoxazole; Nitrofurantoin; Fosfomycin; Ciprofloxacin; Phenazopyridine","Trimethoprim/sulfamethoxazole 160/800 mg oral BID for 3 days; Nitrofurantoin 100 mg oral BID for 5 days; Fosfomycin 3 g oral single dose; Ciprofloxacin 250 mg oral BID for 3 days; Phenazopyridine 200 mg oral TID for 2 days (symptomatic relief)","Plenty of fluids (water); Probiotics (yogurt); Foods rich in vitamin C (fortify urine acidity); High-fiber diet; Cranberry juice (may help)","Caffeine; Alcohol; Spicy foods; Soda; Deli meats (nitrites)"
Kidney Stones (Nephrolithiasis),"Severe flank or back pain (colicky); Hematuria; Nausea/vomiting; Urgency to urinate; Sweating","Hydration (2-3 L/day); Diet low in sodium; Avoid excessive protein; Manage obesity; Strain urine to catch stone","Pain management (NSAIDs, opioids); Alpha-blockers (Tamsulosin); Thiazide diuretics (if recurrent calcium stones); Allopurinol (if uric acid stones); Citrate supplements","Ibuprofen 400 mg oral QID PRN; Oxycodone 5–10 mg oral QID PRN for severe pain; Tamsulosin 0.4 mg oral daily for 4 weeks; Hydrochlorothiazide 25 mg oral once daily (if hypercalciuria); Potassium citrate 10 mEq oral TID","Fluids (water, citrus juices for citrate); Citrus fruits (lemon, orange); Low-oxalate vegetables; Whole grains; Calcium with meals","""High-oxalate foods (spinach, beets, nuts); Excess salt; Animal protein; Sugary drinks (soda); Excess vitamin C supplements"""
Epilepsy,"Recurrent seizures (focal or generalized); Temporary confusion; Uncontrolled jerking movements; Loss of consciousness; Psychic symptoms","Medication adherence; Avoid sleep deprivation; Limit alcohol; Safety measures (helmets, showers); Treat underlying causes","Valproate; Levetiracetam; Lamotrigine; Carbamazepine; Clonazepam","Valproate 500 mg oral BID; Levetiracetam 500 mg oral BID; Lamotrigine 100 mg oral once daily; Carbamazepine 200 mg oral BID; Clonazepam 0.5 mg oral at bedtime","Regular meals; Low-glycemic foods; Adequate hydration; Folate-rich foods (for valproate use); Mediterranean diet","Flashing lights (if photosensitive); Excess caffeine; Alcohol (lowers seizure threshold); Skip medications; Nicotine"
Migraine,"Recurrent headaches (often unilateral, throbbing); Photophobia/phonophobia; Nausea/vomiting; Aura (visual disturbances); Neck stiffness","Regular sleep; Identify and avoid triggers (stress, hunger); Caffeine moderation; Stress reduction; Migraine prophylaxis if frequent","NSAIDs (Ibuprofen); Triptans (Sumatriptan); Anti-nausea (Ondansetron); Beta-blockers (Propranolol); Antidepressants (Amitriptyline)","Sumatriptan 50 mg oral at onset of headache; Ibuprofen 400 mg oral PRN; Ondansetron 4 mg oral as needed; Propranolol 40 mg oral BID (prophylaxis); Amitriptyline 25 mg oral at bedtime (prophylaxis)","Magnesium-rich foods (nuts, whole grains); Riboflavin (Vitamin B2) foods (eggs, lean meats); Hydration; Ginger (for nausea); Balanced regular meals","Aged cheeses; Chocolate; Red wine; Processed meats (nitrites); MSG-containing foods"
Irritable Bowel Syndrome,"Abdominal pain relieved by defecation; Bloating; Altered bowel habits (diarrhea, constipation or both); Gas; Mucus in stool","Dietary fiber adjustment; Low-FODMAP diet; Regular exercise; Manage stress; Adequate hydration","Fiber supplements (Psyllium); Loperamide (if diarrhea); Osmotic laxatives (Polyethylene glycol); Antispasmodics (Hyoscine); Low-dose antidepressant (TCAs, SSRIs)","Psyllium 5 g oral daily; Loperamide 4 mg oral after first stool then 2 mg after each loose stool (max 8 mg/day); Polyethylene glycol 17 g oral daily (if constipation); Hyoscine (Scopolamine) 10 mg oral TID before meals; Amitriptyline 10–25 mg oral at bedtime (if IBS-D)","Low-FODMAP diet (avoid certain carbs); Peppermint tea; Bananas; Rice and oats; Lean proteins (chicken, fish)","High-FODMAP foods (onions, garlic, apples); Caffeine; Alcohol; Fatty fried foods; Artificial sweeteners (sorbitol, mannitol)"
Crohn's Disease,"Abdominal pain (often RLQ); Diarrhea (may be bloody); Weight loss; Fever; Fatigue; Perianal disease (fistulas)","Smoking cessation (prevents flares); Regular follow-up (monitor disease); Nutrition support; Hydration; Vaccinations","5-ASA (Mesalamine); Corticosteroids (Prednisone); Azathioprine; Biologics (Infliximab); Antibiotics (Metronidazole)","Prednisone 40 mg oral once daily (induction) taper; Azathioprine 2 mg/kg oral once daily; Infliximab 5 mg/kg IV at 0,2,6 weeks then every 8 weeks; Metronidazole 500 mg oral TID for 10 days; Nutritional supplement shakes","Low-residue diet during flare; Lean proteins; Vitamin-rich fruits/vegetables (cooked if needed); Probiotics; Small frequent meals","High-fat foods; Dairy (if lactose intolerant); Spicy foods; Alcohol; High-fiber raw foods during flare"
Ulcerative Colitis,"Bloody diarrhea; Abdominal pain (crampy, lower abdomen); Tenesmus (urge to defecate); Weight loss; Fatigue","Regular monitoring; Avoid NSAIDs; Stress management; Complete vaccinations; Emergency care for severe flares","5-ASA (Mesalamine oral/suppository); Corticosteroids (Budesonide, Prednisone); Azathioprine; Biologics (Adalimumab); IV fluids (if severe)","Mesalamine 2.4 g oral daily (maintenance); Budesonide 9 mg oral once daily (induction); Prednisone 40 mg oral once daily taper; Azathioprine 2 mg/kg oral once daily; Adalimumab 160 mg SC at week 0, 80 mg at week 2, then 40 mg every other week","Low-fiber foods during flares; Lean proteins; Hydration (water, electrolyte drinks); Probiotic yogurt; Omega-3 rich foods","High-fiber raw fruits/vegetables (in exacerbation); Spicy foods; Alcohol; Caffeine; High-fat fried foods"
Obesity,"BMI ≥30 kg/m²; Increased waist circumference; Fatigue; Joint pain; Snoring (if sleep apnea)","Calorie-restricted diet; Regular physical activity; Behavioral therapy; Sleep hygiene; Medical evaluation","Orlistat; GLP-1 agonists (Liraglutide); Phentermine; Metformin (if insulin resistance); Bariatric surgery referral (if severe)","Orlistat 120 mg oral TID with meals for 12 weeks; Liraglutide 3.0 mg SC once daily; Phentermine 37.5 mg oral once daily (short-term); Metformin 500 mg oral BID (off-label for weight); Refer for bariatric surgery evaluation","High-protein foods (legumes, chicken); Whole grains; Fruits and vegetables; Healthy fats (avocado, nuts); Water (no-calorie drinks)","Sugary beverages and snacks; Processed fast foods; Excess refined carbs; High-fat fried foods; Alcohol"
Eczema (Atopic Dermatitis),"Itchy, red, inflamed skin; Dry, scaly patches; Lichenification (thick skin); Crusting/oozing (when acute)","Daily moisturization; Avoid irritants (perfumes, soaps); Bleach baths (dilute) for colonization; Manage stress; Topical steroids as prescribed","Topical corticosteroids; Calcineurin inhibitors (Tacrolimus); Antihistamines (Cetirizine); Cyclosporine (severe); Dupilumab","Hydrocortisone 1% cream apply BID; Tacrolimus ointment 0.1% apply BID; Cetirizine 10 mg oral once daily; Cyclosporine 3 mg/kg oral once daily (short-term); Dupilumab 600 mg SC day1, then 300 mg SC every 2 weeks","Lean protein; Vitamin D-rich foods; Probiotics (yogurt); Anti-inflammatory omega-3s; Hydrating fruits/vegetables","Cow's milk (if dairy allergy); Eggs (if allergy); Nuts; Soy (if allergy); High-histamine foods (aged cheese)"
Psoriasis,"Raised red plaques with silvery scales (often elbows/knees); Itching or burning; Nail pitting; Joint pain (psoriatic arthritis)","Moisturize skin daily; Avoid triggers (stress, injury); Sun exposure (moderate); Gently remove scales; Treat infections promptly","Topical corticosteroids; Vitamin D analogs (Calcipotriene); Methotrexate; Biologics (Etanercept, Ustekinumab); Phototherapy","Calcipotriene cream 0.005% apply BID; Clobetasol 0.05% cream apply daily (up to 2 wk); Methotrexate 15 mg oral weekly; Etanercept 50 mg SC weekly; Ustekinumab 45 mg SC at weeks 0 and 4, then every 12 wk","Omega-3 fish; Olive oil; Leafy greens; Turmeric (anti-inflammatory); Whole grains","""Alcohol; Red meat; Dairy (worsening inflammation); Nightshades (tomatoes, peppers in some); Gluten (if sensitivity)"""
Acne,"Pimples (papules, pustules); Blackheads; Whiteheads; Oily skin; Scarring (severe cases)","Gentle skin cleansing; Non-comedogenic products; Avoid picking skin; Diet low in high-glycemic foods; Manage stress","Benzoyl peroxide; Topical retinoids (Tretinoin); Antibiotics (Clindamycin); Oral isotretinoin (severe); Hormonal therapy (oral contraceptives)","Benzoyl peroxide 5% gel apply daily; Tretinoin 0.025% cream apply nightly; Clindamycin 1% gel BID; Isotretinoin 20 mg oral daily for 12 weeks; Oral contraceptive (ethinyl estradiol/norgestimate) daily","Low glycemic index diet; Foods rich in zinc (oysters, pumpkin seeds); Vitamin A foods (carrots, sweet potatoes); Green tea; Hydration","High glycemic foods (sweets, white bread); Dairy (may worsen acne in some); Greasy fried foods; Excess chocolate; High-sugar drinks"
Allergic Rhinitis,"Sneezing; Runny or stuffy nose; Itchy eyes/nose/throat; Watery eyes; Postnasal drip","""Avoid allergens (pollen, dust mites, pet dander); Use air filters; Keep windows closed in high pollen; Nasal saline rinse; Allergy immunotherapy (shots)""","Antihistamines (Cetirizine, Fexofenadine); Intranasal corticosteroids (Fluticasone nasal); Decongestants (pseudoephedrine); Leukotriene inhibitors (Montelukast); Nasal saline sprays","Cetirizine 10 mg oral once daily; Fexofenadine 180 mg oral once daily; Fluticasone nasal spray 2 sprays per nostril daily; Pseudoephedrine 60 mg oral Q4-6hr as needed; Montelukast 10 mg oral once daily","Honey (local raw); Probiotic yogurt; Omega-3 fish; Turmeric (anti-inflammatory); Green tea","Dairy (may increase mucus); Sugar-rich foods; Alcohol; Processed foods; MSG-containing foods"
Chickenpox,"Fever; Itchy vesicular rash starting on face and trunk; Rapid progression to pustules and scabs; Fatigue","Vaccination (Varicella vaccine); Avoid scratching (trim nails); Keep skin clean; Isolation until lesions crust; Oatmeal baths (relief)","Antivirals (Acyclovir); Calamine lotion; Antihistamines (Diphenhydramine); Acetaminophen for fever; Varicella immunoglobulin (for immunocompromised)","Acyclovir 20 mg/kg IV every 8 hr for 7 days (severe); Acyclovir 800 mg oral 5 times/day for 7 days (adult); Calamine lotion topically PRN; Diphenhydramine 25 mg oral Q6hr PRN; Varicella-zoster immune globulin per protocol","Cool baths (oatmeal); Soft bland diet; Hydration (water, juices); Foods rich in vitamins A&C; Balanced diet","Spicy or acidic foods (can irritate mouth sores); Aspirin (Reye's syndrome risk); Caffeine; Alcohol; Heavy fatty foods"
Measles,"High fever; Cough; Coryza (runny nose); Conjunctivitis; Koplik spots (oral); Maculopapular rash (spreads head to toe)","Vaccination (MMR):contentReference[oaicite:48]{index=48}; Isolate from others; Rest and hydration; Nutrition support; Vitamin A supplementation","Supportive care (no specific antiviral); Vitamin A supplementation; Analgesics (acetaminophen for fever); Antibiotics (if secondary infection)","Vitamin A 200,000 IU oral day1 and day2 (in malnourished); Acetaminophen 500 mg oral Q6hr PRN fever; Amoxicillin 500 mg oral TID for 7 days (if otitis media); Dexamethasone 0.15 mg/kg oral daily (severe); Ribavirin (in severe/immunocompromised)","Vitamin A-rich foods (leafy greens, liver); Plenty of fluids; Soft fruits; Lean proteins; Oatmeal (for comfort)","Spicy foods (can irritate lesions); Aspirin in children (Reye’s syndrome risk); Raw milk; Immunocompromised exposure; Undernourished diets"
Malaria,"High fever (cyclic); Chills; Sweating; Headache; Muscle aches; Anemia","Mosquito avoidance (bed nets, repellents); Prophylactic antimalarials when traveling; Screen donors; Early diagnosis/treatment","Artemisinin-based combination therapy (Artemether/Lumefantrine); Chloroquine (sensitive strains); Doxycycline (prophylaxis); Mefloquine (prophylaxis); Primaquine (to clear hypnozoites)","Artemether/Lumefantrine 20/120 mg oral (4 tabs initially then 4 tabs after 8 hr, then 4 tabs BID × days2–3); Chloroquine 600 mg oral base once, then 300 mg at 6, 24, 48 hr; Doxycycline 100 mg oral once daily for 7 days; Mefloquine 250 mg oral once weekly (prophylaxis); Primaquine 30 mg oral once daily for 14 days (P. vivax)","Hydration (oral rehydration solutions); Fruits (bananas); Complex carbs (rice, potatoes); Iron-rich foods (if anemia); Tea (non-caffeinated)","Alcohol; NSAIDs (risk of renal complications); Excess vitamin C (can degrade primaquine); Unpasteurized dairy; Undercooked meat (to avoid other infections)"
Dengue Fever,"High fever; Severe headache; Retro-orbital pain; Muscle and joint pain; Rash (often maculopapular); Low platelet count","Mosquito control (repellents, nets):contentReference[oaicite:49]{index=49}; Early hydration; Monitor for bleeding; Avoid NSAIDs; Rest","Supportive care; Acetaminophen; IV fluids (if dehydration); Platelet transfusion (if severe); Antibiotics (for secondary infections)","Acetaminophen 500 mg oral Q6hr PRN; IV normal saline 5–10 mL/kg/hr during febrile phase; Platelet transfusion per platelet count; Doxycycline 100 mg oral BID for 5 days (if secondary infection); Ondansetron 4 mg oral TID (if nausea)","Hydration (electrolyte drinks); Fruits rich in vitamin C; Broths; Crackers/bread; Balanced diet to maintain strength","NSAIDs (risk of hemorrhage); Aspirin; Alcohol; Caffeine; Salty high-sugar foods"
Shingles (Herpes Zoster),"Painful vesicular rash in dermatomal distribution; Burning or tingling pain; Fever; Headache; Postherpetic neuralgia (chronic pain)","Vaccination (Shingrix) for age>50; Antiviral therapy early; Pain management; Loose clothing; Calamine lotion","Antivirals (Acyclovir, Valacyclovir); Analgesics (NSAIDs); Neuropathic pain meds (Gabapentin, Pregabalin); Topical lidocaine; Corticosteroids (in severe)","Valacyclovir 1 g oral TID for 7 days; Acyclovir 800 mg oral 5 times daily for 7 days; Gabapentin 300 mg oral TID (neuralgia); Lidocaine 5% patch applied to rash BID; Prednisone 60 mg oral daily taper for 7 days","Cool compresses; Oatmeal baths; High-protein foods (repair); Fruits and vegetables; Hydration","Stress; Physical irritants on rash; Spicy foods; Excess sugar; Alcohol"
Lyme Disease,"Erythema migrans rash (bull’s-eye); Fever; Fatigue; Joint pain (large joints); Neurological symptoms (Bell's palsy)","Tick avoidance (repellent clothing); Prompt tick removal; Prophylactic doxycycline if tick attached; Check for coinfections (Babesia)","Doxycycline; Amoxicillin; Cefuroxime; Macrolides (Azithromycin); NSAIDs for pain","Doxycycline 100 mg oral BID for 10–21 days; Amoxicillin 500 mg oral TID for 14–21 days; Cefuroxime 500 mg oral BID for 14–21 days; Azithromycin 500 mg oral on day1, then 250 mg daily for 7 days; ibuprofen 400 mg oral TID PRN","Anti-inflammatory foods (berries, leafy greens); Garlic (antimicrobial); Turmeric; Omega-3 fish; Probiotics","Raw cheese (Listeria risk); Alcohol (can stress liver during treatment); Processed meats; Sugary foods (immune suppression); NSAIDs (used sparingly)"
Breast Cancer,"Breast lump; Nipple discharge or retraction; Skin changes (dimpling); Swollen lymph nodes; Breast pain","Regular screening (mammograms); Self-exams; Limit alcohol; Exercise; Healthy BMI","Tamoxifen; Anastrozole; Letrozole; Chemotherapy (e.g., Doxorubicin); Targeted therapy (Trastuzumab)","Tamoxifen 20 mg oral daily for 5 years; Anastrozole 1 mg oral daily for 5 years; Letrozole 2.5 mg oral daily for 5 years; Trastuzumab 8 mg/kg IV loading dose, then 6 mg/kg every 3 weeks; Doxorubicin 60 mg/m² IV every 21 days for 6 cycles","Cruciferous vegetables; Fruits and vegetables; Whole grains; Omega-3 fish; Green tea","Alcohol; High-fat dairy; Red processed meats; Smoking (risk factor); Excess sugar"
Prostate Cancer,"Urinary hesitancy; Nocturia; Weak urine stream; Erectile dysfunction; Pelvic pain","Regular screening (PSA) for at-risk; Healthy diet (plant-based):contentReference[oaicite:50]{index=50}; Maintain physical activity; Weight control; Limit dairy intake","Androgen deprivation (Leuprolide); Antiandrogens (Bicalutamide); Radiotherapy; Chemotherapy (Docetaxel); Bisphosphonates (Zoledronic acid)","Leuprolide 7.5 mg IM monthly; Bicalutamide 50 mg oral daily; Docetaxel 75 mg/m² IV every 3 weeks; Zoledronic acid 4 mg IV every 4 weeks; Refer for prostatectomy evaluation","Tomatoes (lycopene); Green tea; Cruciferous vegetables; Soy foods (isoflavones); Fish","High-fat dairy; Red meat; Alcohol; Processed foods; Smoking (risk factor)"
Skin Allergy,"Itching, Redness, Swelling, Rash, Dry skin, itchy","Avoid allergens, Use mild soaps, Wear loose clothing, Keep skin hydrated, Avoid scratching","Antihistamines, Hydrocortisone cream, Cetirizine, Diphenhydramine, Calamine lotion","Apply hydrocortisone twice daily, Take antihistamine at night, Use cold compresses, Avoid hot showers, Apply moisturizer after bathing","Include omega-3 fatty acids, Eat vitamin C rich foods, Stay hydrated, Include probiotics, Avoid processed foods","Avoid dairy if allergic, Limit spicy food, Avoid artificial additives, Avoid nuts if sensitive, No shellfish"
Cough,"Dry throat, Chest pain, Sore throat, Mucus production, Hoarseness","Avoid cold drinks, Stay hydrated, Use humidifier, Avoid allergens, Rest properly","Dextromethorphan, Guaifenesin, Benzonatate, Honey lozenges, Bromhexine","Take cough syrup every 6 hours, Steam inhalation twice daily, Gargle with salt water, Drink warm fluids, Avoid smoking","Warm soups, Herbal teas, Honey and lemon, Soft foods, Ginger and turmeric","No cold drinks, Avoid fried foods, No ice creams, Limit sugar, Avoid dairy if phlegm is thick"
Anxiety and Restlessness,"Increased heart rate, Sweating, Nervousness, Irritability, Insomnia","Practice meditation, Get regular sleep, Avoid caffeine, Stay active, Do breathing exercises","Alprazolam, Diazepam, Buspirone, Sertraline, Clonazepam","Take medication as prescribed, Practice daily meditation, Limit screen time before bed, Maintain sleep hygiene, Cognitive Behavioral Therapy (CBT)","Eat whole grains, Include magnesium-rich foods, Herbal teas like chamomile, Omega-3 rich foods, Avoid skipping meals","Avoid caffeine, No alcohol, Limit sugar intake, No spicy food, Avoid processed snacks"
Joint Pain,"Swelling, Stiffness, Redness, Decreased mobility, Aching sensation","Avoid overexertion, Maintain healthy weight, Use joint supports, Do regular light exercise, Apply hot/cold packs","Ibuprofen, Naproxen, Paracetamol, Diclofenac, Glucosamine supplements","Take NSAIDs after meals, Use hot pack morning and night, Gentle physiotherapy, Rest during flare-ups, Use anti-inflammatory gel","Anti-inflammatory foods, Omega-3 fatty acids, Vitamin D rich food, Leafy greens, Turmeric in diet","Avoid red meat, Limit sugar, No fried foods, Avoid alcohol, Cut down on refined carbs"
Weight Loss,"Fatigue, Weakness, Loss of appetite, Low muscle mass, Nutrient deficiency","Monitor diet, Eat frequent small meals, Include high-calorie snacks, Track body weight, Avoid skipping meals","Appetite stimulants, Multivitamins, Cyproheptadine, Megestrol acetate, Zinc supplements","Eat every 3 hours, Include calorie-dense smoothies, Take supplements daily, Regular health checkups, Manage underlying cause","High protein foods, Whole grains, Healthy fats, Smoothies with nuts and seeds, Dairy products","Avoid empty calories, Limit caffeine, No low-fat diets, Avoid skipping meals, No excessive fiber"
